Price,City,State,Bedrooms,Bathrooms,Area_Sqft,Lot Size,Year Built,Days on Market,Property Type
554217.0,San Diego,CA,1,3,772,4757,1959,101,Townhouse
164454.0,Fresno,IL,1,1,2348,3615,1969,46,Apartment
1249331.0,Sacramento,TX,6,1,3630,9369,1990,59,Townhouse
189267.0,Fresno,TX,2,1,605,8804,1958,119,Apartment
465778.0,Los Angeles,CA,3,2,1711,9260,2020,26,Townhouse
738357.0,Sacramento,NY,5,3,1177,8317,2015,35,Multi-Family
1325395.0,Sacramento,NY,6,1,1990,5592,2012,94,Townhouse
1158003.0,San Diego,IL,2,2,1008,6010,1975,75,Townhouse
240095.0,San Francisco,FL,6,2,929,5449,1975,79,Townhouse
1356448.0,San Diego,NY,2,3,2094,2179,1970,111,Multi-Family
678604.0,San Diego,FL,3,3,2350,3341,2013,25,Multi-Family
1264926.0,Fresno,CA,3,1,2407,2609,1989,79,Apartment
645962.0,Los Angeles,CA,4,3,2746,8256,2008,11,Condo
575637.0,Sacramento,NY,1,4,3387,1740,1966,97,Condo
507793.0,Fresno,CA,5,4,3480,2022,2007,66,Multi-Family
1171629.0,Sacramento,TX,2,4,2351,2275,2007,46,Condo
698570.0,Sacramento,CA,3,2,722,6443,1953,72,Apartment
534688.0,San Francisco,TX,3,1,2356,3883,1958,114,Townhouse
1108288.0,Los Angeles,NY,6,3,1156,1218,1958,28,Condo
1173697.0,Los Angeles,TX,2,4,1554,9408,1982,1,Multi-Family
980716.0,Los Angeles,IL,2,2,982,7527,1983,58,Multi-Family
527238.0,Los Angeles,NY,4,4,3164,9694,1955,33,Condo
1469257.0,Fresno,IL,5,3,635,1130,1990,42,Multi-Family
1381949.0,San Francisco,TX,4,4,2966,2421,1997,38,Single Family
898597.0,Sacramento,FL,6,3,3814,2093,1957,71,Condo
1335481.0,Los Angeles,IL,2,4,1583,6306,1979,30,Apartment
1444036.0,San Diego,CA,6,3,743,8853,2018,50,Townhouse
831525.0,Sacramento,CA,4,3,1165,3128,1954,57,Townhouse
911317.0,Los Angeles,NY,3,2,908,1492,1963,42,Apartment
858386.0,San Francisco,FL,2,2,1475,1926,1983,102,Multi-Family
705506.0,Sacramento,CA,6,1,3892,4133,1985,113,Townhouse
1461297.0,San Diego,NY,1,3,3156,2935,1961,61,Apartment
630339.0,San Diego,IL,1,4,1752,3040,1993,61,Single Family
268142.0,Los Angeles,CA,6,4,3778,3988,2012,8,Single Family
1250016.0,San Francisco,NY,3,4,3551,1230,1961,58,Multi-Family
1231600.0,San Diego,CA,1,3,3640,9593,2008,108,Single Family
1073723.0,San Diego,NY,6,1,1396,7815,1989,88,Apartment
1353530.0,Los Angeles,FL,2,4,3442,3651,1952,108,Multi-Family
272592.0,San Diego,CA,3,3,3641,9671,1988,115,Townhouse
1401287.0,Los Angeles,NY,5,4,824,5426,2008,64,Apartment
255138.0,San Diego,FL,4,4,3704,2027,1960,84,Condo
235690.0,San Francisco,FL,4,2,3150,8121,1968,60,Townhouse
1286157.0,San Diego,CA,2,1,1130,9652,2008,15,Apartment
1197675.0,Sacramento,CA,4,1,2418,4843,1978,103,Apartment
130113.0,San Diego,IL,6,1,641,6571,1998,23,Multi-Family
327247.0,San Francisco,FL,6,4,692,8938,1996,90,Condo
1253172.0,Sacramento,NY,2,2,1718,4766,1993,95,Townhouse
947261.0,San Diego,CA,3,1,1515,1817,2013,3,Condo
928085.0,Sacramento,FL,2,3,3201,6981,2014,63,Multi-Family
1075059.0,Fresno,CA,4,2,806,5870,1990,22,Apartment
704012.0,San Francisco,TX,2,2,2192,2491,2022,82,Multi-Family
894851.0,Los Angeles,NY,1,1,2983,6389,1975,89,Single Family
1062706.0,San Diego,FL,2,4,1143,3561,2006,28,Multi-Family
1293272.0,San Diego,TX,1,3,1004,4822,1982,28,Apartment
121941.0,San Diego,IL,4,1,1266,6554,1961,45,Townhouse
1054157.0,Los Angeles,CA,3,2,3080,2905,1981,2,Apartment
1064596.0,San Francisco,FL,5,1,2383,7954,1995,73,Condo
1301207.0,Sacramento,TX,5,4,659,9317,1985,46,Single Family
1429718.0,San Francisco,FL,1,4,3082,4211,1974,55,Single Family
570284.0,Sacramento,CA,1,1,2654,1426,1990,57,Condo
136498.0,Los Angeles,CA,5,4,3410,4595,1988,71,Townhouse
1118129.0,San Diego,CA,4,1,3593,8559,2006,51,Single Family
348881.0,Los Angeles,NY,5,1,3368,1942,1954,81,Multi-Family
1224280.0,San Diego,CA,3,3,1071,3640,1965,95,Condo
435555.0,Los Angeles,FL,2,2,2403,8914,1955,18,Condo
1142134.0,Los Angeles,NY,2,3,3515,6385,2018,49,Multi-Family
929862.0,Sacramento,NY,3,1,1640,2571,1950,58,Multi-Family
557894.0,Fresno,IL,5,1,2551,3014,2006,76,Townhouse
282593.0,San Francisco,TX,6,2,2153,6999,1977,31,Single Family
390371.0,Sacramento,NY,5,4,3539,9313,1985,47,Multi-Family
